모듈 종류
모듈 이름	기능 설명
atexit	프로그램이 종료될 때 호출되는 함수를 등록
argparse	명령행 매개 변수를 파싱하는 기능을 제공
bisect	리스트 정렬을 위한 바이섹션 알고리즘
calendar	날짜 관련 함수 제공
codecs	데이터 인·디코딩을 제공
collections	다양한 형태의 자료구조를 제공
copy	데이터를 복사하는 기능을 제공
csv	CSV 파일을 읽고 쓰는 기능을 제공
datetime	날짜와 시간을 다루는 기능 제공
fnmatch	유닉스 스타일의 파일 이름 패턴을 찾는 함수 제공
glob	유닉스 스타일의 파일 이름 패턴 찾기 기능을 제공
io	I/O 스트림을 제어할 수 있다. 파이썬 3에서는 문자열을 파일로 취급 할 수 있는 StringIO 모듈을 포함
json	JSON 포맷을 읽고 쓰는 기능을 제공
logging	파이썬이 기본으로 제공하는 로깅 기능
multiproccessing	스레드와 흡사한 API로 자식 프로세스를 실행
operator	기본 파이썬 연산자와 동일한 함수를 제공한다. 이것은 람다함수를 대체 가능
os	기본적인 os 함수를 제공
random	랜덤한 수를 생성
re	정규표현식 함수를 제공
select	이벤트 루프를 만드는 select()와 poll()을 쓸 수 있게 해준다.
shutil	고수준의 파일 기능을 제공
signal	POSIX 시그널을 제어할 수 있다.
tempfile	임시 파일과 디렉터리에 대한 기능을 제공
threading	고수준 스레딩 기능을 제공
urlib	URL을 파싱하는 함수 제공
uuid	UUID를 만들 수 있는 모듈
